FISCAL_YR,Channel,total_net_sales,total_custs,FISCAL_QTR,FISCAL_MO,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,R,42252886.1876336,234895,1,3,3192794.29093936,19902,0,0.07556393371002,8.4727218544456e-002,2996753.30069638,18929,NTB_1,1,3142232.95066089,19374,0.9537019,0.9770311,158.31545780001
2018,R,42252886.1876336,234895,1,3,3192794.29093936,19902,0,0.07556393371002,8.4727218544456e-002,145479.649964504,445,NTB__Omni,_Omni,3142232.95066089,19374,4.629818e-002,2.296893e-002,326.920561717986
2018,R,46557260.6450495,271674,2,4,3582162.73185521,23873,0,7.69410116107445e-002,8.7873701568792e-002,3353550.43158685,22605,NTB_1,1,3512277.26161524,23139,0.954808,0.9769221,148.354365476083
2018,R,46557260.6450495,271674,2,4,3582162.73185521,23873,0,7.69410116107445e-002,8.7873701568792e-002,158726.830028385,534,NTB__Omni,_Omni,3512277.26161524,23139,0.045192,2.307792e-002,297.241254734803
2018,R,41059074.6706537,269321,2,5,3022978.18072066,22588,0,7.36250927467024e-002,8.3870177223462e-002,2785062.63958542,21208,NTB_1,1,2973539.21017287,21879,0.9366154,0.9693313,131.32132400912
2018,R,41059074.6706537,269321,2,5,3022978.18072066,22588,0,7.36250927467024e-002,8.3870177223462e-002,188476.570587453,671,NTB__Omni,_Omni,2973539.21017287,21879,6.338459e-002,3.066868e-002,280.889076881449
2018,R,27508762.9410479,220127,2,6,1808081.04566721,17980,0,6.57274574484496e-002,8.16801210210469e-002,1707000.26517209,17245,NTB_1,1,1783445.55545935,17580,0.9571362,0.9809443,98.9852284820002
2018,R,27508762.9410479,220127,2,6,1808081.04566721,17980,0,6.57274574484496e-002,8.16801210210469e-002,76445.2902872562,335,NTB__Omni,_Omni,1783445.55545935,17580,4.286382e-002,1.905574e-002,228.194896379869
2018,R,26922721.7963525,198775,3,7,1671249.96359467,15253,0,0.06207581745398,7.67350018865551e-002,1574837.87329621,14607,NTB_1,1,1653882.0234724,14923,0.9522069,0.9788246,107.813916156378
2018,R,26922721.7963525,198775,3,7,1671249.96359467,15253,0,0.06207581745398,7.67350018865551e-002,79044.1501761936,316,NTB__Omni,_Omni,1653882.0234724,14923,4.77931e-002,2.117537e-002,250.139715747448
2018,R,47006425.9501142,258105,3,8,2740170.4281035,18397,0,5.82935284425052e-002,7.12771933902869e-002,2545316.81750078,17418,NTB_1,1,2685484.62813826,17811,0.9478054,0.977935,146.131405299161
2018,R,47006425.9501142,258105,3,8,2740170.4281035,18397,0,5.82935284425052e-002,7.12771933902869e-002,140167.810637474,393,NTB__Omni,_Omni,2685484.62813826,17811,5.219461e-002,2.206502e-002,356.661095769654
2018,R,38078495.689839,211722,3,9,2261928.34525407,14513,0,5.94017254168382e-002,6.85474348438046e-002,2126850.53500248,13833,NTB_1,1,2232555.73515142,14128,0.9526528,0.9791195,153.751936311897
2018,R,38078495.689839,211722,3,9,2261928.34525407,14513,0,5.94017254168382e-002,6.85474348438046e-002,105705.200148944,295,NTB__Omni,_Omni,2232555.73515142,14128,4.734717e-002,2.088052e-002,358.322712369301
2018,R,38765703.2723884,246102,4,10,2337320.82571158,19076,0,6.02935230992283e-002,7.75125760863382e-002,2170917.07510071,18069,NTB_1,1,2311319.9659265,18550,0.9392542,0.9740701,120.145944717511
2018,R,38765703.2723884,246102,4,10,2337320.82571158,19076,0,6.02935230992283e-002,7.75125760863382e-002,140402.890825788,481,NTB__Omni,_Omni,2311319.9659265,18550,6.074576e-002,2.592992e-002,291.897901924714
2018,R,40816612.682969,309523,4,11,3100198.01622715,30433,0,7.59543189021349e-002,9.83222571505187e-002,2954985.69529077,29282,NTB_1,1,3054714.27584067,29731,0.9673526,0.9848979,100.914749514745
2018,R,40816612.682969,309523,4,11,3100198.01622715,30433,0,7.59543189021349e-002,9.83222571505187e-002,99728.5805498995,449,NTB__Omni,_Omni,3054714.27584067,29731,3.264743e-002,1.510208e-002,222.112651558796
2018,R,21565467.4703316,172552,4,12,1254001.31339832,12487,0,5.81485801373655e-002,7.23665909407019e-002,1196774.23327084,12070,NTB_1,1,1245593.17323842,12264,0.9608067,0.9841813,99.1527948028867
2018,R,21565467.4703316,172552,4,12,1254001.31339832,12487,0,5.81485801373655e-002,7.23665909407019e-002,48818.9399675801,194,NTB__Omni,_Omni,1245593.17323842,12264,3.919332e-002,1.581866e-002,251.644020451444
2018,D,13975449.0619727,130751,1,1,12223124.8535007,110866,1,0.874614103582539,0.847917033139326,10971180.3336145,96073,Existing_1,1,12936546.8522272,104400,0.8480764,0.9202394,114.196291711662
2018,D,13975449.0619727,130751,1,1,12223124.8535007,110866,1,0.874614103582539,0.847917033139326,1965366.51861276,8327,Existing__Omni,_Omni,12936546.8522272,104400,0.1519236,7.976054e-002,236.023359987122
2018,D,23636373.039701,216439,1,2,20092808.3085523,176021,1,0.850080013325363,0.813259163089831,16987449.2772152,140565,Existing_1,1,21946523.6998503,160268,0.7740383,0.8770621,120.851202484368
2018,D,23636373.039701,216439,1,2,20092808.3085523,176021,1,0.850080013325363,0.813259163089831,4959074.42263507,19703,Existing__Omni,_Omni,21946523.6998503,160268,0.2259617,0.1229378,251.691337493533
2018,D,19606276.8700883,164841,1,3,16036169.2120669,131183,1,0.817909964157037,0.795815361469537,13863140.9599664,108327,Existing_1,1,17056729.419935,119981,0.8127667,0.902868,127.974936626754
2018,D,19606276.8700883,164841,1,3,16036169.2120669,131183,1,0.817909964157037,0.795815361469537,3193588.45996857,11654,Existing__Omni,_Omni,17056729.419935,119981,0.1872333,9.713205e-002,274.033675988379
2018,D,20889261.7653382,183767,2,4,17251105.1465521,145253,1,0.825836036732378,0.790419389770742,14834609.8941698,118626,Existing_1,1,18628101.6540008,133241,0.7963565,0.8903115,125.05361298678
2018,D,20889261.7653382,183767,2,4,17251105.1465521,145253,1,0.825836036732378,0.790419389770742,3793491.75983096,14615,Existing__Omni,_Omni,18628101.6540008,133241,0.2036435,0.1096885,259.561529923432
2018,D,21463118.0543538,200209,2,5,18414525.0602804,165786,1,0.857961318278498,0.828064672417324,15702344.5115435,134063,Existing_1,1,19508887.5727097,150489,0.8048816,0.8908492,117.126608471715
2018,D,21463118.0543538,200209,2,5,18414525.0602804,165786,1,0.857961318278498,0.828064672417324,3806543.06116622,16426,Existing__Omni,_Omni,19508887.5727097,150489,0.1951184,0.1091508,231.738893289067
2018,D,14887841.2669297,165088,2,6,13174447.7161216,141323,1,0.884913230864831,0.856046472184532,11514548.1169062,117180,Existing_1,1,14100925.9952434,130654,0.816581,0.8968726,98.2637661452992
2018,D,14887841.2669297,165088,2,6,13174447.7161216,141323,1,0.884913230864831,0.856046472184532,2586377.87833721,13474,Existing__Omni,_Omni,14100925.9952434,130654,0.183419,0.1031273,191.953234253912
2018,D,14047948.0519474,148762,3,7,12376742.9207182,126708,1,0.881035641287306,0.851749774808083,10966659.9273243,106708,Existing_1,1,13180743.576508,117698,0.8320214,0.9066254,102.772612431348
2018,D,14047948.0519474,148762,3,7,12376742.9207182,126708,1,0.881035641287306,0.851749774808083,2214083.64918372,10990,Existing__Omni,_Omni,13180743.576508,117698,0.1679787,9.337457e-002,201.463480362486
2018,D,22840199.4828761,181300,3,8,19427726.3097508,147565,1,0.850593547762851,0.813927192498621,16474834.0628619,118967,Existing_1,1,21270656.1843298,135770,0.7745334,0.8762392,138.48238640011
2018,D,22840199.4828761,181300,3,8,19427726.3097508,147565,1,0.850593547762851,0.813927192498621,4795822.12146787,16803,Existing__Omni,_Omni,21270656.1843298,135770,0.2254666,0.1237608,285.414635569117
2018,D,19141348.8175062,144468,3,9,15670519.5937423,114042,1,0.818673738363223,0.789392806711521,13634323.6424965,95552,Existing_1,1,16597879.267018,105661,0.8214498,0.9043261,142.690091703957
2018,D,19141348.8175062,144468,3,9,15670519.5937423,114042,1,0.818673738363223,0.789392806711521,2963555.62452155,10109,Existing__Omni,_Omni,16597879.267018,105661,0.1785503,9.56739e-002,293.160117174948
2018,D,25125217.6664745,223096,4,10,20859617.7266749,174849,1,0.830226348825177,0.783738838885502,17899683.0491484,143716,Existing_1,1,21721805.2184521,158738,0.8240421,0.9053661,124.54899279933
2018,D,25125217.6664745,223096,4,10,20859617.7266749,174849,1,0.830226348825177,0.783738838885502,3822122.16930362,15022,Existing__Omni,_Omni,21721805.2184521,158738,0.1759579,9.463392e-002,254.43497332603
2018,D,21032076.0773907,207167,4,11,17437979.6730361,163431,1,0.829113569619587,0.78888529543798,14775325.7198789,130679,Existing_1,1,18904810.0218438,149634,0.7815644,0.8733242,113.065800318941
2018,D,21032076.0773907,207167,4,11,17437979.6730361,163431,1,0.829113569619587,0.78888529543798,4129484.30196491,18955,Existing__Omni,_Omni,18904810.0218438,149634,0.2184356,0.1266758,217.857256764173
2018,D,13181980.3153505,144303,4,12,11742699.6907137,124734,1,0.890814536950808,0.864389513731523,10533162.9766154,106802,Existing_1,1,12565041.7686132,117663,0.8382911,0.907694,98.6232746260878
2018,D,13181980.3153505,144303,4,12,11742699.6907137,124734,1,0.890814536950808,0.864389513731523,2031878.79199782,10861,Existing__Omni,_Omni,12565041.7686132,117663,0.1617089,0.092306,187.080268115074
